,LAG1,LAG2,LAG180,LAG365,MA3,MA5,MA7,MA30,MAP7-3,M-X,M-Y,DE-TREND,DATE
2562901,-7.670123799891428,-10.503341724154756,8.794978868084062,-5.239226009520417,-6.799753429521059,-3.1811195019325327,-2.5905279023863366,-4.363010221890794,-3.2251023100969545,True,False,-2.225794764516987,2011-11-20
2562902,-2.225794764516987,-7.670123799891428,8.7393079034585,-3.2948969741459777,-3.2998688385910646,-3.7145682443358723,-2.296992517805549,-4.1464589642941325,-3.542678036627277,True,False,-0.003687951364774733,2011-11-21
2562903,-0.003687951364774733,-2.225794764516987,7.1280813832773795,-3.128345716549319,-0.6147990624758842,-4.003572542294767,-2.217742847510475,-3.9762040029937684,-3.098349001252839,True,False,0.3850855284541126,2011-11-22
2562904,0.3850855284541126,-0.003687951364774733,6.850188196429595,-0.2951277922859923,0.6258262691948507,-1.603687951364772,-2.3845249232471475,-3.8466897824341446,-2.5905279023863366,True,False,1.4960812304952178,2011-11-23
2562905,1.4960812304952178,0.3850855284541126,6.961183898470704,-0.1285765346893264,-1.1705854361714512,-1.1482478048792224,-3.4163863640631855,-3.9319903766893356,-2.2969925178055486,True,False,-5.3929230674636806,2011-11-24
2562906,-5.3929230674636806,1.4960812304952178,7.794401822734031,-0.1286919437593319,-4.170700845241457,-2.426140991727006,-3.1466605032919213,-4.133957637611194,-2.2177428475104746,True,False,-8.615260698755906,2011-11-25
2562907,-8.615260698755906,-5.3929230674636806,7.516508635886247,0.3156370916151019,-6.467112550607761,-3.50403417857479,-2.821379086965101,-4.332221194829347,-2.3845249232471466,True,False,-5.393153885603692,2011-11-26
2562908,-5.393153885603692,-8.615260698755906,8.738615449038466,-5.795589428566014,-4.652413144862952,-3.5708162543114623,-2.496097670638282,-4.30826252982528,-3.4163863640631837,True,False,0.051175149770745776,2011-11-27
2562909,0.051175149770745776,-5.393153885603692,9.738500039968457,-11.40681594874713,-1.115491516895922,-3.4709316633814695,-2.210498793994003,-4.0731927537101,-3.14666050329192,True,False,1.9955041851451831,2011-11-28
2562910,1.9955041851451831,0.051175149770745776,8.293940186454005,-6.073598024483804,-1.9674587778177794,-3.9821581835625866,-3.401090393540199,-4.04738223685418,-2.8213790869651,True,False,-7.9490556683692635,2011-11-29
2562911,-7.9490556683692635,1.9955041851451831,8.960491444050668,0.926286566446187,-5.967574186887783,-4.648940259299259,-5.321840723245125,-4.203053201479741,-2.496097670638282,True,False,-11.949171077439267,2011-11-30
2562912,-11.949171077439267,-7.9490556683692635,8.404820479425105,-3.073828842623815,-10.412134040402234,-5.837944557258153,-6.17116248152148,-4.3661315735127095,-2.210498793994002,True,False,-11.338175375398166,2011-12-01
2562913,-11.338175375398166,-11.949171077439267,9.182482848132882,-13.240610918360488,-11.597434634657425,-8.14917107743927,-6.5839763032899,-4.523654389990123,-3.401090393540198,True,False,-11.504957451134835,2011-12-02
2562914,-11.504957451134835,-11.338175375398166,9.237922994618426,-13.296281882986047,-10.949401895579284,-10.549286486509276,-7.242821871090063,-4.662658687949018,-5.321840723245124,True,False,-10.005072860204843,2011-12-03
2562915,-10.005072860204843,-11.504957451134835,7.737807585548417,-11.018619514278278,-8.579146934278919,-9.804957451134836,-7.8540483912711805,-4.681292615537543,-6.171162481521478,True,False,-4.227410491497071,2011-12-04
2562916,-4.227410491497071,-10.005072860204843,7.848803287589526,-7.796512701126058,-5.338521602608185,-7.771739526871509,-8.393846340023725,-4.518445061644585,-6.583976303289899,True,False,-1.783081456122634,2011-12-05
2562917,-1.783081456122634,-4.227410491497071,7.626465656297302,-15.852183665751621,-2.357155530196709,-5.71629938038596,-7.409834764966748,-4.36856047071459,-7.242821871090063,True,False,-1.060974642970418,2011-12-06
2562918,-1.060974642970418,-1.783081456122634,7.07079469167174,-17.907854630377184,-0.9498635318593074,-3.416414789455967,-5.703600967687548,-4.274231435340153,-7.85404839127118,True,False,-0.00553449648486648,2011-12-07
2562919,-0.00553449648486648,-1.060974642970418,6.570679282601731,-19.241303372780525,-3.9499789409293133,-3.5720857540815287,-5.624351297392474,-4.542865362928677,-8.393846340023726,True,False,-10.783427683332652,2011-12-08
2562920,-10.783427683332652,-0.00553449648486648,7.5150083179761715,-15.074752115183863,-6.524168424073392,-4.483312274262646,-5.235577817573591,-4.713351142369053,-7.409834764966747,True,False,-8.783543092402656,2011-12-09
2562921,-8.783543092402656,-10.783427683332652,9.848226242239502,-14.4082008575872,-9.153913462773028,-5.705649905554873,-4.934105925056296,-4.857910995883503,-5.703600967687548,True,False,-7.894769612583772,2011-12-10
2562922,-7.894769612583772,-8.783543092402656,8.57033305539171,-10.85276071110165,-9.228102945917106,-7.694654203513767,-5.902475302380269,-4.94876714569425,-5.624351297392475,True,False,-11.005996132764889,2011-12-11
2562923,-11.005996132764889,-7.894769612583772,7.959106535210598,-8.797320564616104,-9.913403540172297,-9.861436279250437,-7.196241505101069,-4.950734406616107,-5.235577817573591,True,False,-10.839444875168226,2011-12-12
2562924,-10.839444875168226,-11.005996132764889,6.792324459473928,-17.797435973686106,-10.024630060353415,-9.350440577209334,-8.220166437980598,-5.032331297167594,-4.934105925056295,True,False,-8.228449173127123,2011-12-13
2562925,-8.228449173127123,-10.839444875168226,9.069986828181694,-19.630884716089447,-8.839560284238235,-9.083889319612672,-9.283773910542667,-5.21207633586723,-5.902475302380269,True,False,-7.450786804419355,2011-12-14
2562926,-7.450786804419355,-8.228449173127123,8.73653808577836,-20.075444569603896,-6.765601619234169,-8.428449173127124,-8.402936938660293,-5.360339893085384,-7.196241505101069,True,False,-4.617568880156027,2011-12-15
2562927,-4.617568880156027,-7.450786804419355,9.958644898930569,-11.408893312007233,-5.024976287563436,-6.8285645821971315,-7.5776555223334725,-5.54934419104428,-8.220166437980598,True,False,-3.0065731781149214,2011-12-16
2562928,-3.0065731781149214,-4.617568880156027,12.569640600971677,-3.964564276632796,-3.8213879929297376,-5.4286799912671375,-6.9984058520384,-5.738348489003173,-9.283773910542665,True,False,-3.840021920518261,2011-12-17
2562929,-3.840021920518261,-3.0065731781149214,12.791747414123897,-10.409124130147246,-5.543725624221964,-5.739906511448254,-6.823918086505231,-5.714389823999105,-8.402936938660293,True,False,-9.784581774032707,2011-12-18
2562930,-9.784581774032707,-3.840021920518261,11.458298671720556,-14.187017316995032,-8.099396588847524,-6.384466364962703,-6.800223971765713,-5.814505233069111,-7.5776555223334725,True,False,-10.673586071991602,2011-12-19
2562931,-10.673586071991602,-9.784581774032707,10.069294373761661,-16.63157717050948,-8.655067553473087,-6.562359551810486,-6.411450491946831,-5.923879901398377,-6.9984058520384,True,False,-5.5070348143949435,2011-12-20
